time,Temperature,Pressure
128,24.2317448408,141.032705777

128.5,24.2085316761,141.204851119

129,24.2564079685,141.37699646

129.5,24.1606519946,141.549141801

130,24.2085316761,141.721287143

130.5,24.2085316761,141.893432484

131,24.2796195272,142.065577825

131.5,24.2085316761,142.237723167

132,24.1853177147,142.350144614

132.5,24.2085316761,142.582013849

133,24.1606519946,142.810369915

133.5,24.2317448408,142.926304532

134,24.1853177147,143.098449874

134.5,24.2085316761,143.154660597

135,24.2317448408,143.326805939

135.5,24.2317448408,143.49895128

136,24.1853177147,143.671096621

136.5,24.2085316761,143.787031239

137,24.2085316761,144.015387304

137.5,24.2317448408,144.131321922

138,24.2085316761,144.243743369

138.5,24.2085316761,144.41588871

139,24.2085316761,144.647757946

139.5,24.2085316761,144.703968669

140,24.2085316761,144.932324734

140.5,24.1606519946,145.332826141

141,24.1606519946,145.448760758

141.5,24.1606519946,145.6209061

142,24.1606519946,145.849262165

142.5,24.1606519946,145.965196782

143,24.1606519946,146.137342124

143.5,24.1606519946,146.253276741

144,24.1853177147,146.425422083

144.5,24.1606519946,146.53784353

145,24.1606519946,146.709988872

145.5,24.1853177147,146.882134213

146,24.1853177147,146.998068831

146.5,24.1606519946,147.170214172

147,24.1853177147,147.398570237

147.5,24.1606519946,147.458294131

148,24.1853177147,147.686650196

148.5,24.1853177147,147.802584814

149,24.1853177147,147.974730155

149.5,24.1853177147,148.146875496

150,24.1853177147,148.319020838

150.5,24.1606519946,148.431442285

151,24.137436353,148.603587626

151.5,24.1606519946,148.775732968

152,24.1853177147,148.891667585

152.5,24.1606519946,149.063812927

153,24.1606519946,149.235958268

153.5,24.1606519946,149.348379716

154,24.1606519946,149.580248951

154.5,24.1853177147,149.692670398

155,24.1853177147,149.808605016

155.5,24.1606519946,149.980750357

156,24.1606519946,150.152895699

156.5,24.1606519946,150.268830316

157,24.1606519946,150.440975658

157.5,24.1606519946,150.613120999

158,24.1606519946,150.725542446

158.5,24.1853177147,150.841477064

159,24.1606519946,150.957411682

159.5,24.137436353,151.069833129

160,24.1606519946,151.24197847

160.5,24.1606519946,151.414123812

161,24.137436353,151.586269153

161.5,24.1606519946,151.702203771

162,24.137436353,151.874349112

162.5,24.137436353,151.99028373

163,24.1606519946,152.102705177

163.5,24.1606519946,152.274850518

164,24.137436353,152.44699586

164.5,24.137436353,152.619141201

165,24.1606519946,152.735075819

165.5,24.1853177147,152.90722116

166,24.1606519946,153.079366501

166.5,24.1853177147,153.191787949

167,24.1606519946,153.36393329

167.5,24.1606519946,153.536078632

168,24.1127688212,153.652013249

168.5,24.1606519946,153.824158591

169,24.1606519946,153.996303932

169.5,24.1606519946,154.11223855

170,24.1606519946,154.284383891

170.5,24.137436353,154.512739956

171,24.1606519946,154.628674574

171.5,24.137436353,154.741096021

172,24.1606519946,154.913241362

172.5,24.137436353,155.085386704

173,24.137436353,155.257532045

173.5,24.137436353,155.429677386

174,24.1606519946,155.545612004

174.5,24.137436353,155.717757345

175,24.137436353,155.889902687

175.5,24.1606519946,156.062048028

176,24.1127688212,156.177982646

176.5,24.1606519946,156.346614817

177,24.137436353,156.462549435

177.5,24.1606519946,156.578484052

178,24.137436353,156.750629394

178.5,24.1606519946,156.863050841

179,24.1853177147,157.035196182

179.5,24.137436353,157.207341524

180,24.137436353,157.323276141
